Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2014,72I001425,72I001,MARK TWAIN ELEMENTARY,56448,56175,0.09,0.23,0.48,0.98,0.25,0.59,0.15,454,24.87,43568.05,0.287,9.36,3,1,1.65,1
2015,69I001135,69I001,MARK TWAIN ELEMENTARY,54498.02,43919.29,0.08,0.17,0.36,0.818,0.19,0.66,0.15,192,10.2,45745.37,0.294,13.11,4.17,0.5,1,1
2015,55I089320,55I089,MARK TWAIN ELEMENTARY,53011.22,49735.22,0.08,0.27,0.47,0.84,0.22,0.55,0.22,343,18.4,54438.54,0.177,11.92,3,0.5,1.71,1
2015,72I001425,72I001,MARK TWAIN ELEMENTARY,57115.75,57723.51,0.09,0.23,0.49,1.014,0.26,0.59,0.15,422,23.63,42279.96,0.302,8.64,2.5,1,2.03,1
2016,55I089320,55I089,MARK TWAIN ELEMENTARY,53956.08,50805.13,0.08,0.28,0.47,1,0.22,0.55,0.23,320,19.6,53465.77,0.194,14.27,3,0.3,1.3,1
2016,69I001135,69I001,MARK TWAIN ELEMENTARY,55669.13,45480.87,0.07,0.18,0.35,0.874,0.19,0.66,0.15,191,11.24,45492.84,0.178,14.18,3.5,0.5,1,1
2016,72I001425,72I001,MARK TWAIN ELEMENTARY,58190.81,60320.18,0.08,0.23,0.5,0.987,0.26,0.59,0.15,451,25.13,42055.08,0.244,8.49,3,1,1.9,1
2014,69I003105,69I003,MARLOW ELEMENTARY,60479,30982,0.09,0.16,0.26,0.57,0.17,0.7,0.13,719,36,42947.11,0.25,14.84,4,0.1,3,2
2015,69I003105,69I003,MARLOW ELEMENTARY,63190.54,29320.11,0.06,0.14,0.27,0.553,0.17,0.7,0.12,777,37.1,42634.56,0.243,13.35,4,0.1,3,2
2016,69I003105,69I003,MARLOW ELEMENTARY,64094.45,30628.77,0.03,0.14,0.27,0.531,0.18,0.69,0.13,754,39.1,42575.73,0.23,15.23,3,0.1,3,2
2014,69I003705,69I003,MARLOW HIGH SCHOOL,60479,30982,0.09,0.16,0.26,0.39,0.17,0.7,0.13,349,22.51,44961.08,0.305,13.62,3,0.67,0.5,2
2015,69I003705,69I003,MARLOW HIGH SCHOOL,63190.54,29320.11,0.06,0.14,0.27,0.398,0.17,0.7,0.12,377,21.91,45998.9,0.32,14.02,3,1,0.5,2
2016,69I003705,69I003,MARLOW HIGH SCHOOL,64094.45,30628.77,0.03,0.14,0.27,0.402,0.18,0.69,0.13,368,23.35,44974.35,0.214,15.39,3,1,0.5,2
2014,69I003505,69I003,MARLOW MIDDLE SCHOOL,60479,30982,0.09,0.16,0.26,0.46,0.17,0.7,0.13,293,16.49,41801.46,0.069,11.91,3,0.9,1.5,2
2015,69I003505,69I003,MARLOW MIDDLE SCHOOL,63190.54,29320.11,0.06,0.14,0.27,0.487,0.17,0.7,0.12,302,16.55,42602.9,0,11.49,2,0.9,1.5,2
2016,69I003505,69I003,MARLOW MIDDLE SCHOOL,64094.45,30628.77,0.03,0.14,0.27,0.451,0.18,0.69,0.13,319,17.55,43070.03,0.114,13.46,2,0.9,1.5,2
2014,72I007110,72I007,MARRS ELEMENTARY,62488,31248,0.06,0.15,0.36,0.62,0.17,0.71,0.12,694,34,40861.68,0.147,12.26,3.2,0,3.46,2.42
2015,72I007110,72I007,MARRS ELEMENTARY,63069.81,32414.49,0.06,0.16,0.36,0.594,0.16,0.7,0.14,694,32.98,41556.92,0.151,13.16,3,0,3.96,2.42
2016,72I007110,72I007,MARRS ELEMENTARY,63900.52,33632.16,0.06,0.16,0.36,0.578,0.16,0.7,0.13,498,23.7,40662.97,0.153,12.27,1.75,0,2.06,2.35
2014,49I019110,49I019,MARSHALL ELEMENTARY,46109,33573,0.11,0.2,0.29,0.94,0.12,0.67,0.2,491,25.96,41079.89,0.142,9.09,1,1,2.26,1.29
2014,72I001310,72I001,MARSHALL ELEMENTARY,56448,56175,0.09,0.23,0.48,1.01,0.25,0.59,0.15,435,24.64,41357.62,0.112,5.82,4,1,1.77,1
2015,49I019110,49I019,MARSHALL ELEMENTARY,46687.38,35115.03,0.12,0.2,0.31,0.913,0.13,0.68,0.19,473,25.29,41307.44,0.158,9.19,0.29,0.48,3.6,1
